siparis_id,urun_id,adet,iade_tarihi,neden,iade_edilen_tutar,iade_kargo_maliyeti,yeniden_satilabilir
S100118,U205,1,2026-03-06,beden uymadı,1290.00,172.03,hayır
S100150,U103,1,2026-03-08,üründen memnun kalmadım,3290.00,103.66,evet
S100149,U205,1,2026-03-09,üründen memnun kalmadım,1290.00,97.97,evet
S100232,U602,1,2026-03-09,hasarlı geldi,290.00,102.65,hayır
S100049,U204,1,2026-03-10,beden uymadı,2290.00,104.75,hayır
S100244,U105,1,2026-03-11,beden uymadı,1890.00,172.14,hayır
S100224,U406,1,2026-03-12,geç teslimat,990.00,79.05,evet
S100406,U101,1,2026-03-12,üründen memnun kalmadım,5490.00,102.39,hayır
S100183,U205,1,2026-03-13,beden uymadı,903.00,92.58,evet
S100510,U207,1,2026-03-14,beden uymadı,5490.00,113.38,evet
S100077,U203,1,2026-03-15,üründen memnun kalmadım,2793.00,96.36,evet
S100098,U203,1,2026-03-16,üründen memnun kalmadım,3990.00,90.37,hayır
S100323,U408,2,2026-03-16,üründen memnun kalmadım,1380.00,94.51,evet
S100629,U602,1,2026-03-16,üründen memnun kalmadım,246.50,86.89,hayır
S100436,U202,1,2026-03-17,beden uymadı,2790.00,100.11,evet
S100493,U207,1,2026-03-17,beden uymadı,3843.00,158.68,hayır
S100430,U104,1,2026-03-18,geç teslimat,2490.00,109.88,evet
S100615,U605,1,2026-03-18,geç teslimat,890.00,106.11,evet
S100651,U206,1,2026-03-18,beden uymadı,4490.00,87.59,evet
S100750,U406,3,2026-03-18,üründen memnun kalmadım,2970.00,94.40,evet
S100697,U404,1,2026-03-19,beden uymadı,1043.00,96.94,evet
S100133,U104,1,2026-03-20,üründen memnun kalmadım,2490.00,162.70,evet
S100194,U206,1,2026-03-20,yanlış ürün gönderildi,4490.00,105.44,hayır
S100274,U204,1,2026-03-20,hasarlı geldi,2290.00,101.36,hayır
S100314,U105,1,2026-03-20,üründen memnun kalmadım,1890.00,116.55,evet
S100473,U602,1,2026-03-20,hasarlı geldi,290.00,82.20,hayır
S100569,U203,1,2026-03-20,beden uymadı,3990.00,107.94,hayır
S100008,U407,1,2026-03-21,beden uymadı,1690.00,114.22,evet
S100171,U306,1,2026-03-21,geç teslimat,690.00,84.92,evet
S100243,U503,1,2026-03-21,üründen memnun kalmadım,590.00,119.26,evet
S100253,U206,1,2026-03-21,beden uymadı,3143.00,110.03,hayır
S100386,U101,1,2026-03-21,fikir değiştirdim,5490.00,120.06,evet
S100702,U101,1,2026-03-21,hasarlı geldi,4666.50,78.43,evet
S100753,U201,1,2026-03-21,beden uymadı,2966.50,88.79,evet
S100782,U103,1,2026-03-21,beden uymadı,2796.50,79.55,evet
S100873,U106,1,2026-03-21,fikir değiştirdim,3990.00,102.85,evet
S100019,U503,1,2026-03-22,fikir değiştirdim,590.00,166.16,hayır
S100144,U303,1,2026-03-22,üründen memnun kalmadım,1290.00,79.38,evet
S100170,U104,1,2026-03-22,beden uymadı,2490.00,157.19,hayır
S100474,U201,1,2026-03-22,geç teslimat,3490.00,105.18,hayır
S100534,U305,1,2026-03-22,hasarlı geldi,1690.00,150.88,hayır
S100639,U202,1,2026-03-22,hasarlı geldi,1953.00,99.84,evet
S100731,U104,1,2026-03-22,üründen memnun kalmadım,2490.00,96.88,evet
S100602,U105,1,2026-03-23,yanlış ürün gönderildi,1606.50,100.47,hayır
S100648,U201,1,2026-03-23,beden uymadı,3490.00,144.98,evet
