tarih,kanal,kampanya,harcama,tiklama
2026-03-01,google,google-alisveris,956.46,152
2026-03-01,google,google-arama-generik,1187.03,169
2026-03-01,google,google-arama-marka,737.16,124
2026-03-01,instagram,instagram-kesfet,863.35,177
2026-03-01,instagram,instagram-retargeting,631.77,132
2026-03-02,google,google-alisveris,539.92,88
2026-03-02,google,google-arama-generik,785.37,124
2026-03-02,google,google-arama-marka,472.11,68
2026-03-02,instagram,instagram-kesfet,1432.94,354
2026-03-02,instagram,instagram-retargeting,1059.59,230
2026-03-03,google,google-alisveris,620.54,84
2026-03-03,google,google-arama-generik,879.49,119
2026-03-03,google,google-arama-marka,603.51,89
2026-03-03,instagram,instagram-kesfet,1132.38,241
2026-03-03,instagram,instagram-retargeting,845.27,176
2026-03-04,google,google-alisveris,656.68,97
2026-03-04,google,google-arama-generik,850.26,113
2026-03-04,google,google-arama-marka,541.21,77
2026-03-04,instagram,instagram-kesfet,1276.78,314
2026-03-04,instagram,instagram-retargeting,1015.81,214
2026-03-05,google,google-alisveris,735.33,106
2026-03-05,google,google-arama-generik,1135.30,170
2026-03-05,google,google-arama-marka,724.46,119
2026-03-05,instagram,instagram-kesfet,1239.61,278
2026-03-05,instagram,instagram-retargeting,765.21,175
2026-03-06,google,google-alisveris,664.11,106
2026-03-06,google,google-arama-generik,980.79,155
2026-03-06,google,google-arama-marka,611.48,95
2026-03-06,instagram,instagram-kesfet,1253.37,307
2026-03-06,instagram,instagram-retargeting,1017.90,212
2026-03-07,google,google-alisveris,955.58,134
2026-03-07,google,google-arama-generik,1292.26,191
2026-03-07,google,google-arama-marka,898.04,133
2026-03-07,instagram,instagram-kesfet,768.14,177
2026-03-07,instagram,instagram-retargeting,609.33,151
2026-03-08,google,google-alisveris,575.52,86
2026-03-08,google,google-arama-generik,728.88,115
2026-03-08,google,google-arama-marka,555.68,83
2026-03-08,instagram,instagram-kesfet,1339.87,317
2026-03-08,instagram,instagram-retargeting,1025.23,262
2026-03-09,google,google-alisveris,641.87,102
2026-03-09,google,google-arama-generik,843.38,130
2026-03-09,google,google-arama-marka,550.45,92
2026-03-09,instagram,instagram-kesfet,921.59,230
2026-03-09,instagram,instagram-retargeting,660.04,166
2026-03-10,google,google-alisveris,357.05,51
2026-03-10,google,google-arama-generik,487.29,71
2026-03-10,google,google-arama-marka,317.77,42
2026-03-10,instagram,instagram-kesfet,1529.64,362
2026-03-10,instagram,instagram-retargeting,1037.93,249
2026-03-11,google,google-alisveris,884.77,135
2026-03-11,google,google-arama-generik,1417.49,226
2026-03-11,google,google-arama-marka,1006.46,159
2026-03-11,instagram,instagram-kesfet,1394.23,316
2026-03-11,instagram,instagram-retargeting,869.58,188
2026-03-12,google,google-alisveris,842.39,123
2026-03-12,google,google-arama-generik,1211.62,169
2026-03-12,google,google-arama-marka,799.93,116
2026-03-12,instagram,instagram-kesfet,1534.49,389
2026-03-12,instagram,instagram-retargeting,1018.40,234
2026-03-13,google,google-alisveris,594.16,88
2026-03-13,google,google-arama-generik,834.45,121
2026-03-13,google,google-arama-marka,617.64,99
2026-03-13,instagram,instagram-kesfet,1585.98,397
2026-03-13,instagram,instagram-retargeting,1230.92,262
2026-03-14,google,google-alisveris,764.91,118
2026-03-14,google,google-arama-generik,1050.22,144
2026-03-14,google,google-arama-marka,785.28,116
2026-03-14,instagram,instagram-kesfet,1284.00,299
2026-03-14,instagram,instagram-retargeting,916.78,238
2026-03-15,google,google-alisveris,707.84,103
2026-03-15,google,google-arama-generik,972.99,135
2026-03-15,google,google-arama-marka,681.33,98
2026-03-15,instagram,instagram-kesfet,1480.81,377
2026-03-15,instagram,instagram-retargeting,1087.52,240
2026-03-16,google,google-alisveris,730.45,106
2026-03-16,google,google-arama-generik,946.85,149
2026-03-16,google,google-arama-marka,697.79,101
2026-03-16,instagram,instagram-kesfet,1461.80,299
2026-03-16,instagram,instagram-retargeting,928.37,227
2026-03-17,google,google-alisveris,676.96,94
2026-03-17,google,google-arama-generik,777.87,113
2026-03-17,google,google-arama-marka,599.52,91
2026-03-17,instagram,instagram-kesfet,914.26,219
2026-03-17,instagram,instagram-retargeting,586.61,144
2026-03-18,google,google-alisveris,816.88,109
2026-03-18,google,google-arama-generik,1074.28,161
2026-03-18,google,google-arama-marka,671.01,99
2026-03-18,instagram,instagram-kesfet,1075.26,272
2026-03-18,instagram,instagram-retargeting,806.90,196
2026-03-19,google,google-alisveris,544.35,91
2026-03-19,google,google-arama-generik,814.22,131
2026-03-19,google,google-arama-marka,613.62,88
2026-03-19,instagram,instagram-kesfet,1512.65,356
2026-03-19,instagram,instagram-retargeting,1033.92,221
2026-03-20,google,google-alisveris,888.20,122
2026-03-20,google,google-arama-generik,1142.98,154
2026-03-20,google,google-arama-marka,732.07,103
2026-03-20,instagram,instagram-kesfet,795.02,181
2026-03-20,instagram,instagram-retargeting,497.18,113
2026-03-21,google,google-alisveris,601.57,98
2026-03-21,google,google-arama-generik,792.04,124
2026-03-21,google,google-arama-marka,609.29,95
2026-03-21,instagram,instagram-kesfet,1779.03,399
2026-03-21,instagram,instagram-retargeting,1290.59,327
2026-03-22,google,google-alisveris,763.11,123
2026-03-22,google,google-arama-generik,1077.80,165
2026-03-22,google,google-arama-marka,740.22,109
2026-03-22,instagram,instagram-kesfet,1634.21,396
2026-03-22,instagram,instagram-retargeting,1149.85,238
2026-03-23,google,google-alisveris,443.25,73
2026-03-23,google,google-arama-generik,648.78,99
2026-03-23,google,google-arama-marka,452.07,67
2026-03-23,instagram,instagram-kesfet,774.90,189
2026-03-23,instagram,instagram-retargeting,483.50,107
2026-03-24,google,google-alisveris,643.03,104
2026-03-24,google,google-arama-generik,910.53,152
2026-03-24,google,google-arama-marka,606.04,101
2026-03-24,instagram,instagram-kesfet,1206.88,312
2026-03-24,instagram,instagram-retargeting,903.75,222
2026-03-25,google,google-alisveris,892.41,149
2026-03-25,google,google-arama-generik,1095.35,153
2026-03-25,google,google-arama-marka,824.13,117
2026-03-25,instagram,instagram-kesfet,795.95,176
2026-03-25,instagram,instagram-retargeting,544.36,118
2026-03-26,google,google-alisveris,705.96,114
2026-03-26,google,google-arama-generik,995.60,134
2026-03-26,google,google-arama-marka,673.18,109
2026-03-26,instagram,instagram-kesfet,1103.69,252
2026-03-26,instagram,instagram-retargeting,852.23,198
2026-03-27,google,google-alisveris,836.53,130
2026-03-27,google,google-arama-generik,1113.58,157
2026-03-27,google,google-arama-marka,800.96,112
2026-03-27,instagram,instagram-kesfet,932.83,236
2026-03-27,instagram,instagram-retargeting,621.79,128
2026-03-28,google,google-alisveris,706.52,115
2026-03-28,google,google-arama-generik,988.66,141
2026-03-28,google,google-arama-marka,655.85,107
2026-03-28,instagram,instagram-kesfet,1888.12,414
2026-03-28,instagram,instagram-retargeting,1432.33,332
2026-03-29,google,google-alisveris,538.17,75
2026-03-29,google,google-arama-generik,715.23,118
2026-03-29,google,google-arama-marka,494.57,75
2026-03-29,instagram,instagram-kesfet,1643.46,420
