ay,kalem,tutar
2026-03,Maaşlar,985000.00
2026-03,Depo kirası,276000.00
2026-03,Yazılım abonelikleri,71500.00
2026-03,Muhasebe ve danışmanlık,46000.00
2026-03,"Ofis, internet ve diğer",124000.00
2026-03,Sigorta,27500.00
2026-04,Maaşlar,985000.00
2026-04,Depo kirası,276000.00
2026-04,Yazılım abonelikleri,71500.00
2026-04,Muhasebe ve danışmanlık,46000.00
2026-04,"Ofis, internet ve diğer",124000.00
2026-04,Sigorta,27500.00
2026-05,Maaşlar,985000.00
2026-05,Depo kirası,276000.00
2026-05,Yazılım abonelikleri,71500.00
2026-05,Muhasebe ve danışmanlık,46000.00
2026-05,"Ofis, internet ve diğer",124000.00
2026-05,Sigorta,27500.00
2026-06,Maaşlar,985000.00
2026-06,Depo kirası,276000.00
2026-06,Yazılım abonelikleri,71500.00
2026-06,Muhasebe ve danışmanlık,46000.00
2026-06,"Ofis, internet ve diğer",124000.00
2026-06,Sigorta,27500.00
2026-07,Maaşlar,985000.00
2026-07,Depo kirası,276000.00
2026-07,Yazılım abonelikleri,71500.00
2026-07,Muhasebe ve danışmanlık,46000.00
2026-07,"Ofis, internet ve diğer",124000.00
2026-07,Sigorta,27500.00
2026-08,Maaşlar,985000.00
2026-08,Depo kirası,276000.00
2026-08,Yazılım abonelikleri,71500.00
2026-08,Muhasebe ve danışmanlık,46000.00
2026-08,"Ofis, internet ve diğer",124000.00
2026-08,Sigorta,27500.00
