siparis_id,tarih,musteri_id,urun_id,adet,liste_fiyati,kupon_kodu,indirim_tutari,odenen_tutar,kanal,bolge,musteriden_alinan_kargo,kargo_maliyeti
S100001,2026-03-01,M10001,U401,2,6990.00,,0.00,13980.00,organik,Doğu Anadolu,0.00,207.71
S100001,2026-03-01,M10001,U103,1,3290.00,,0.00,3290.00,organik,Doğu Anadolu,0.00,0.00
S100002,2026-03-01,M10002,U407,1,1690.00,,0.00,1690.00,google,Marmara,0.00,97.60
S100003,2026-03-01,M10003,U101,1,5490.00,HOSGELDIN30,1647.00,3843.00,organik,Marmara,0.00,111.36
S100003,2026-03-01,M10003,U502,1,790.00,HOSGELDIN30,237.00,553.00,organik,Marmara,0.00,0.00
S100004,2026-03-01,M10004,U401,1,6990.00,,0.00,6990.00,organik,Marmara,0.00,101.73
S100004,2026-03-01,M10004,U306,1,690.00,,0.00,690.00,organik,Marmara,0.00,0.00
S100005,2026-03-01,M10005,U605,1,890.00,,0.00,890.00,google,Marmara,0.00,91.43
S100006,2026-03-01,M10006,U106,1,3990.00,,0.00,3990.00,google,Marmara,0.00,112.32
S100006,2026-03-01,M10006,U502,1,790.00,,0.00,790.00,google,Marmara,0.00,0.00
S100007,2026-03-01,M10007,U103,1,3290.00,,0.00,3290.00,instagram,Marmara,0.00,100.98
S100008,2026-03-01,M10008,U407,1,1690.00,,0.00,1690.00,google,Akdeniz,0.00,120.14
S100009,2026-03-01,M10009,U503,1,590.00,HOSGELDIN30,177.00,413.00,organik,Marmara,139.00,101.55
S100010,2026-03-01,M10010,U102,1,8900.00,,0.00,8900.00,google,Akdeniz,0.00,116.35
S100011,2026-03-01,M10011,U401,1,6990.00,,0.00,6990.00,google,Marmara,0.00,96.04
S100012,2026-03-01,M10012,U604,3,590.00,,0.00,1770.00,google,İç Anadolu,0.00,118.69
S100012,2026-03-01,M10012,U303,1,1290.00,,0.00,1290.00,google,İç Anadolu,0.00,0.00
S100012,2026-03-01,M10012,U102,1,8900.00,,0.00,8900.00,google,İç Anadolu,0.00,0.00
S100013,2026-03-01,M10013,U301,1,2190.00,,0.00,2190.00,organik,Marmara,0.00,106.50
S100014,2026-03-01,M10014,U207,1,5490.00,HOSGELDIN30,1647.00,3843.00,google,Karadeniz,0.00,146.06
S100014,2026-03-01,M10014,U101,1,5490.00,HOSGELDIN30,1647.00,3843.00,google,Karadeniz,0.00,0.00
S100015,2026-03-01,M10015,U106,1,3990.00,,0.00,3990.00,instagram,Doğu Anadolu,0.00,189.26
S100015,2026-03-01,M10015,U406,1,990.00,,0.00,990.00,instagram,Doğu Anadolu,0.00,0.00
S100015,2026-03-01,M10015,U502,2,790.00,,0.00,1580.00,instagram,Doğu Anadolu,0.00,0.00
S100016,2026-03-01,M10016,U106,2,3990.00,,0.00,7980.00,google,Doğu Anadolu,0.00,201.59
S100016,2026-03-01,M10016,U203,1,3990.00,,0.00,3990.00,google,Doğu Anadolu,0.00,0.00
S100017,2026-03-01,M10017,U105,1,1890.00,HOSGELDIN30,567.00,1323.00,organik,Doğu Anadolu,0.00,197.63
S100017,2026-03-01,M10017,U406,1,990.00,HOSGELDIN30,297.00,693.00,organik,Doğu Anadolu,0.00,0.00
S100017,2026-03-01,M10017,U306,2,690.00,HOSGELDIN30,414.00,966.00,organik,Doğu Anadolu,0.00,0.00
S100018,2026-03-01,M10018,U405,1,1190.00,,0.00,1190.00,google,Ege,0.00,110.53
S100019,2026-03-01,M10009,U503,1,590.00,,0.00,590.00,organik,Doğu Anadolu,139.00,189.57
S100020,2026-03-01,M10019,U202,1,2790.00,,0.00,2790.00,organik,Ege,0.00,120.46
S100021,2026-03-01,M10020,U105,1,1890.00,,0.00,1890.00,organik,Marmara,0.00,102.77
S100022,2026-03-01,M10021,U501,1,1190.00,,0.00,1190.00,google,Doğu Anadolu,0.00,213.28
S100022,2026-03-01,M10021,U202,1,2790.00,,0.00,2790.00,google,Doğu Anadolu,0.00,0.00
S100023,2026-03-01,M10022,U204,1,2290.00,,0.00,2290.00,google,Karadeniz,0.00,127.24
S100024,2026-03-01,M10023,U603,3,390.00,,0.00,1170.00,organik,İç Anadolu,0.00,123.90
S100025,2026-03-01,M10024,U406,1,990.00,,0.00,990.00,instagram,Ege,0.00,111.06
S100026,2026-03-01,M10025,U106,1,3990.00,,0.00,3990.00,google,Güneydoğu Anadolu,0.00,176.11
S100027,2026-03-01,M10026,U303,1,1290.00,,0.00,1290.00,organik,Marmara,0.00,109.42
S100027,2026-03-01,M10026,U502,1,790.00,,0.00,790.00,organik,Marmara,0.00,0.00
S100028,2026-03-01,M10027,U407,1,1690.00,,0.00,1690.00,organik,Marmara,0.00,90.12
S100029,2026-03-01,M10028,U107,2,6490.00,,0.00,12980.00,organik,Marmara,0.00,100.98
S100029,2026-03-01,M10028,U101,1,5490.00,,0.00,5490.00,organik,Marmara,0.00,0.00
S100030,2026-03-01,M10019,U605,1,890.00,,0.00,890.00,instagram,Marmara,0.00,114.23
S100030,2026-03-01,M10019,U106,1,3990.00,,0.00,3990.00,instagram,Marmara,0.00,0.00
S100030,2026-03-01,M10019,U103,1,3290.00,,0.00,3290.00,instagram,Marmara,0.00,0.00
S100031,2026-03-01,M10029,U104,2,2490.00,,0.00,4980.00,organik,Marmara,0.00,113.62
S100031,2026-03-01,M10029,U101,1,5490.00,,0.00,5490.00,organik,Marmara,0.00,0.00
S100031,2026-03-01,M10029,U207,1,5490.00,,0.00,5490.00,organik,Marmara,0.00,0.00
S100032,2026-03-01,M10030,U504,1,490.00,,0.00,490.00,organik,Karadeniz,139.00,119.00
S100033,2026-03-01,M10031,U606,1,490.00,,0.00,490.00,instagram,Marmara,0.00,111.21
S100033,2026-03-01,M10031,U408,1,690.00,,0.00,690.00,instagram,Marmara,0.00,0.00
S100034,2026-03-01,M10032,U403,1,2890.00,,0.00,2890.00,organik,Karadeniz,0.00,146.87
S100034,2026-03-01,M10032,U405,2,1190.00,,0.00,2380.00,organik,Karadeniz,0.00,0.00
S100034,2026-03-01,M10032,U503,3,590.00,,0.00,1770.00,organik,Karadeniz,0.00,0.00
S100035,2026-03-01,M10033,U103,1,3290.00,,0.00,3290.00,organik,Marmara,0.00,100.49
S100036,2026-03-01,M10034,U306,1,690.00,,0.00,690.00,organik,Marmara,139.00,105.90
S100037,2026-03-01,M10035,U406,1,990.00,,0.00,990.00,organik,Ege,0.00,115.47
S100037,2026-03-01,M10035,U506,1,890.00,,0.00,890.00,organik,Ege,0.00,0.00
